START,0
firstPaint,1449
fullyLoaded,8580
connectStart,66
domComplete,4047
domContentLoadedEventEnd,1870
domContentLoadedEventStart,1869
domInteractive,1613
domainLookupEnd,65
domainLookupStart,61
duration,4051
fetchStart,1
loadEventEnd,4051
loadEventStart,4047
redirectEnd,0
redirectStart,0
requestStart,101
responseEnd,116
responseStart,116
secureConnectionStart,77
startTime,0
unloadEventEnd,0
unloadEventStart,0
workerStart,0
backEndTime,116
domContentLoadedTime,1869
domInteractiveTime,1613
domainLookupTime,5
frontEndTime,3931
pageDownloadTime,0
pageLoadTime,4047
redirectionTime,0
serverConnectionTime,34
serverResponseTime,15
